name,avg_rating
Taqueria El Sabor (Shoreline),4.800000190734863
Cracked Eggery (Shaw),4.800000190734863
Taco Patron,4.800000190734863
Walgreens (311 East Campus Mall),4.800000190734863
Cafe Hollander (Hilldale),4.800000190734863
Cafe Hollander (Brookfield),4.800000190734863
Walgreens (2950 N Oakland Ave),4.800000190734863
McDonald's® (1256 CEDAR RD),4.800000190734863
Good Eats Emporium - Sterling,4.800000190734863
Aubergine Kitchen (Riverton),4.800000190734863
Stanford Grill (Rockville),4.800000190734863
Walgreens (2330 E Fort Union Blvd),4.800000190734863
