category,num_restaurants
Convenience-Snacks-Everyday Essentials-Alcohol,7
Sandwich-American-Fast Food-Salads-Desserts,7
Sandwich-American-Family Friendly,7
Sandwich-American-Deli,7
Desserts-Ice Cream + Frozen Yogurt-American,7
Desserts-Kids Friendly,7
American-Burgers-Exclusive to Eats,7
Breakfast and Brunch-American-Salads-Steak-Sandwich-Family Meals-Healthy,7
Diner-Breakfast and Brunch-Burgers-Comfort Food-Family Friendly,7
Pizza-Wings-Desserts-Sandwiches-Family Friendly,7
Breakfast and Brunch-American-Dinner-Bakery-Desserts-Family Meals,7
Asian Fusion-Asian-Vietnamese,7
African-Ethiopian-Vegetarian-Healthy,7
Pizza-Sandwich,7
American-Burgers-Sandwiches-Convenience-Snacks-Everyday Essentials,7
Pizza-Family Friendly,7
Healthy-Açaí-Ice Cream + Frozen Yogurt,7
American-Salads-Sandwich,7
American-Chicken-Sandwiches,7
Mexican-Seafood,7
American-Comfort Food-Dinner-pasta-pizza-salad-Soup-Family Meals,7
Black-owned-Mexican-Latin American-New Mexican,7
Mexican-Latin American-New Mexican-Family Friendly-Group Friendly,7
Burgers-American-Sandwiches-Breakfast and Brunch,7
Mexican-Latin American-Comfort Food,7
Italian-Pizza-Family Meals,7
American-Italian-Pizza,7
Japanese-Asian-Asian Fusion,7
Salads-Healthy-Fast Food-Sandwich-American,7
Indian-Pakistani-Chicken-Halal-Vegetarian,6
Mexican-New Mexican-Tex Mex,6
Hawaiian,6
Wings-American-Family Meals,6
Pizza-American,6
Indian-Pakistani-Indian Curry-Vegetarian-Vegan,6
American-Chicken,6
American-Cheesesteak-Sandwiches-Alcohol,6
Latin American,6
Indian-Vegetarian,6
Greek-Mediterranean-Vegetarian Friendly,6
French,6
Pizza-American-Salads,6
Pizza-American-Salads-Healthy,6
American-Sandwich-Burgers-Fast Food-Kids Friendly,6
American-Sandwich-Comfort Food-Fast Food-Kids Friendly,6
Pizza-Italian-Family Friendly,6
Wings-Asian-Chicken-Family Friendly-Group Friendly,6
Everyday Essentials-Home &amp; Personal Care-Pharmacy-Convenience-Baby,6
Pizza-Salads-Italian-Healthy,6
Latin American-Mexican-Desserts,6
Indian-Vegetarian-Asian-Healthy-Family Friendly,6
Pizza-Salads-Wings,6
Wings-Chicken-American-Desserts,6
Black-owned-Burgers-American-Sandwiches,6
American-Burgers-Salads,6
Pizza-Wings-Pasta,6
Breakfast and Brunch-American-Family Meals,6
Salad / Sandwiches,6
Desserts-Pastry-Bakery,6
Desserts-Pastry,6
Desserts-PIzza-Salads,6
Latin American-Tex Mex-Salvadorian,6
American-Fast Food-Comfort Food,6
Salads-Pizza-Desserts-Healthy-Vegetarian Friendly-Kids Friendly,6
American-Burgers-Chicken-Pasta-Healthy,6
Desserts-Cupcakes,6
Desserts-Coffee and Tea-Comfort Food,6
Sandwich-Bakery-Salads-Breakfast and Brunch-Healthy,6
American-BBQ-Comfort Food,6
Sandwich-Fast Food,6
Vietnamese-Asian,6
Convenience-Snacks-Everyday Essentials-Candy-Home &amp; Personal Care,6
Italian-Pasta,6
Sandwiches-American,6
pizza,6
Convenience-Everyday Essentials-Grocery-Snacks-Home &amp; Personal Care-Alcohol,6
Mexican-Group Friendly,6
